! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_52.txt
! Version: 1.0.23.92
! Last modified: 2026-01-25T06:12:56.820Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 000000555.xyz
0.0.0.0 ss.0001.xyz
0.0.0.0 003153.xyz
0.0.0.0 ns.00dani.me
0.0.0.0 dns.010812.xyz
0.0.0.0 02akgaayi2fi3xkdi13s0jtxj.online
0.0.0.0 041ad0cfb636.xyz
0.0.0.0 04bsox5tuyzbhndhrkphxt8t.online
0.0.0.0 dns.080590.xyz
0.0.0.0 0815cloud.de
0.0.0.0 098th189h98fh892.online
0.0.0.0 0a7velfsvpgyy.online
0.0.0.0 0ms.dev
0.0.0.0 0n0fzcp.online
0.0.0.0 0olnsejxo1cbravdmlarpeb.online
0.0.0.0 dns.0ooo.icu
0.0.0.0 1.0rz.space
0.0.0.0 2.0rz.space
0.0.0.0 schoolschedulechecking.0x.no
0.0.0.0 0x3d.lu
0.0.0.0 adguardhome.0x4min.xyz
0.0.0.0 dns.0x55.net
0.0.0.0 dns-revers.1-au.net
0.0.0.0 hk.100992.xyz
0.0.0.0 seoul.101818.xyz
0.0.0.0 sg.101818.xyz
0.0.0.0 103prxy.com
0.0.0.0 104prxy.com
0.0.0.0 108023.xyz
0.0.0.0 1.11i.eu
0.0.0.0 2.11i.eu
0.0.0.0 3.11i.eu
0.0.0.0 123-proxy.net
0.0.0.0 123-proxy.org
0.0.0.0 123000123.xyz
0.0.0.0 d1.12342345.xyz
0.0.0.0 123adsas.store
0.0.0.0 123ani.me
0.0.0.0 123anonymous.com
0.0.0.0 123app.info
0.0.0.0 123bay.org
0.0.0.0 123book.info
0.0.0.0 123book.org
0.0.0.0 123down.org
0.0.0.0 123fr.info
0.0.0.0 123free.info
0.0.0.0 123goproxy.com
0.0.0.0 123hideip.com
0.0.0.0 123inside.net
0.0.0.0 123li.me
0.0.0.0 123music.app
0.0.0.0 123proxy.app
0.0.0.0 123proxy.biz
0.0.0.0 123proxy.cool
0.0.0.0 123proxy.me
0.0.0.0 123roms.com
0.0.0.0 123rooms.net
0.0.0.0 123streaming.org
0.0.0.0 123sumo.net
0.0.0.0 123superproxy.com
0.0.0.0 123torr.com
0.0.0.0 123ultraproxy.com
0.0.0.0 123unblocked.com
0.0.0.0 12vpx.com
0.0.0.0 hkali.13142233.xyz
0.0.0.0 usxui.13142233.xyz
0.0.0.0 zhk.13142233.xyz
0.0.0.0 kotaa.1337.cx
0.0.0.0 dns.13evl.com
0.0.0.0 dns1.13evl.com
0.0.0.0 13fwvc7ka.online
0.0.0.0 dns.141664.xyz
0.0.0.0 14921004.xyz
0.0.0.0 hk-nnss.150076.xyz
0.0.0.0 httpdns.c.163.com
0.0.0.0 httpdns.music.163.com
0.0.0.0 23.106.141.137.16clouds.com
0.0.0.0 jxzn.172896.xyz
0.0.0.0 vski.172896.xyz
0.0.0.0 1735r.ru
0.0.0.0 hk2.1833015459.site
0.0.0.0 doh.18bit.cn
0.0.0.0 190564326.xyz
0.0.0.0 adguard.19151120.xyz
0.0.0.0 vps.19790307.xyz
0.0.0.0 cloud.198.games
0.0.0.0 1and1-dns.de
0.0.0.0 1bfwu5d5n.online
0.0.0.0 1clickvpn.com
0.0.0.0 1clickvpn.net
0.0.0.0 2apoc.1copa.com
0.0.0.0 donutdevcodingeducation.1copa.com
0.0.0.0 imtiredofmakinglinks.1copa.com
0.0.0.0 county.news.1copa.com
0.0.0.0 1ee.top
0.0.0.0 1eeqfdye1cecpqc.online
0.0.0.0 1f47epzt.online
0.0.0.0 1f76a2ba920d.space
0.0.0.0 1pxbs8xsmyox.online
0.0.0.0 1tv8q2k.online
0.0.0.0 1utins.xyz
0.0.0.0 1vpn.org
0.0.0.0 1vpn.website
0.0.0.0 vpn.1xtrm.com
0.0.0.0 20010114.xyz
0.0.0.0 adhome.2011101.xyz
0.0.0.0 onetwobucklemyshoethreefourbucklesomemore56nike.2022yw.com
0.0.0.0 vps.202316.xyz
0.0.0.0 220913.xyz
0.0.0.0 233py.com
0.0.0.0 chronos.24-7.ro
0.0.0.0 kutay1234.24-7.ro
0.0.0.0 t2c.240130034.xyz
0.0.0.0 24032949.xyz
0.0.0.0 dns.240527.xyz
0.0.0.0 24tunnel.com
0.0.0.0 educational-site.24x7.hk
0.0.0.0 bbcincheecks.26252526.xyz
0.0.0.0 when-sophie-gets-angry.26252526.xyz
0.0.0.0 268222219.xyz
0.0.0.0 2805hammandrive.shop
0.0.0.0 doh003.280blocker.net
0.0.0.0 28383829.com
0.0.0.0 2a87.com
0.0.0.0 skynet.2bsafe.info
0.0.0.0 2fastsurfer.com
0.0.0.0 2fastsurfer.eu
0.0.0.0 2fastsurfer.us
0.0.0.0 2govpn.com
0.0.0.0 doh.2kil.com
0.0.0.0 2mrk0bvkkye.online
0.0.0.0 dns.2poi.com
0.0.0.0 2poigv.xyz
0.0.0.0 2proxy.de
0.0.0.0 2proxyweb.com
0.0.0.0 2pxcmgs.online
0.0.0.0 2r34.com
0.0.0.0 lvpn.2rdp.ru
0.0.0.0 dns.2t9.de
0.0.0.0 2ub.top
0.0.0.0 doh.30x.me
0.0.0.0 dns.320888.xyz
0.0.0.0 3245.uk
0.0.0.0 dnstw.3300000.xyz
0.0.0.0 oracle001.330k.biz
0.0.0.0 dns.333551.xyz
0.0.0.0 n.3363.net
0.0.0.0 dhlifeus-micro1.dns.3456.kr
0.0.0.0 dns.354688.xyz
0.0.0.0 xjpdns.354688.xyz
0.0.0.0 doh.360.cn
0.0.0.0 dot.360.cn
0.0.0.0 doh.361.best
0.0.0.0 3c9cb3d8220987079380c1eff68166716afea4e1.com
0.0.0.0 dns.3dcapitaltrust.net
0.0.0.0 3dcosas.xyz
0.0.0.0 3dns.eu
0.0.0.0 3gvsjdodyalgolb.online
0.0.0.0 3jdyuyqtvf.online
0.0.0.0 adg.3k.work
0.0.0.0 3kh0.org
0.0.0.0 3nkh5crxol.ch
0.0.0.0 3proxy.de
0.0.0.0 3qguvtvrpyzkatp2.online
0.0.0.0 dns.3wv.de
